Player,Team,Position,GPM,WinRate,CounterPickRate,Kills,Deaths,Assists,KDA,KP,KillShare,TeamDeathShare,FirstBloodRate,GoldDiff@10,XPDiff@10,CSDiff@10,CSPerMin,TeamDeathShare@15,DPM,DamageShare,TeamDamageShare@15,AverageGPM,GoldShare,StolenNeutralObjectives,WardsPerMin,ControlWardsPerMin,WardsClearedPerMin
369,JD Gaming,Top,14,71%,57%,46,47,89,2.90000009536743,61.9%,21.1%,23.5%,21%,256,167,4.59999990463257,7.59999990463257,21.1%,594,25.1%,22.7%,265,21.6%,0,0.379999995231628,0.170000001788139,0.219999998807907
Abbedagge,100 Thieves,Middle,6,17%,67%,11,17,23,2,64.2%,20.8%,20.5%,17%,-193,-138,-5.5,8.5,26.4%,454,27.2%,29.4%,246,24.2%,0,0.419999986886978,0.170000001788139,0.170000001788139
Atlen,CTBC Flying Oyster,ADC,1,0%,100%,3,5,2,1,100.0%,60.0%,22.7%,100%,351,-595,4,7.90000009536743,23.0%,163,11.2%,8.5%,271,26.6%,0,0.379999995231628,0.159999996423721,0.409999996423721
Berserker,Cloud9,ADC,6,17%,83%,8,12,16,2,60.0%,20.0%,13.6%,33%,-476,54,-7.30000019073486,8.80000019073486,31.1%,389,22.2%,25.1%,246,25.9%,0,0.449999988079071,0.100000001490116,0.159999996423721
BeryL,DRX,Support,21,67%,57%,16,47,168,3.90000009536743,66.7%,5.8%,23.5%,19%,100,43,-0.5,1,3.6%,292,13.3%,11.7%,120,10.1%,0,1.63999998569489,0.46000000834465,0.409999996423721
Bie,GAM Esports,Support,6,17%,50%,6,19,32,2,70.4%,11.1%,17.8%,0%,-160,-129,7,1,2.5%,156,8.5%,8.3%,91,9.5%,0,1.83000004291534,0.479999989271164,0.25
Blaber,Cloud9,Jungle,6,17%,67%,6,19,26,1.70000004768372,80.0%,15.0%,21.6%,33%,-202,-183,-4,5.40000009536743,14.5%,256,14.7%,15.0%,173,18.6%,1,0.270000010728836,0.230000004172325,0.300000011920929
Breathe,Royal Never Give Up,Top,10,50%,50%,30,27,32,2.29999995231628,47.0%,22.7%,22.5%,40%,106,-12,-3.40000009536743,8.80000019073486,28.0%,406,20.9%,17.5%,284,24.4%,0,0.379999995231628,0.150000005960464,0.189999997615814
BrokenBlade,G2 Esports,Top,6,17%,50%,16,17,15,1.79999995231628,56.4%,29.1%,20.2%,50%,-164,-204,1.20000004768372,7.19999980926514,22.2%,476,27.8%,22.3%,215,22.1%,0,0.400000005960464,0.129999995231628,0.100000001490116
Canyon,DWG KIA,Jungle,12,58%,58%,41,32,81,3.79999995231628,70.1%,23.6%,24.1%,42%,306,36,4.80000019073486,5.59999990463257,17.5%,426,18.6%,20.0%,227,19.3%,4,0.509999990463257,0.379999995231628,0.449999988079071
Caps,G2 Esports,Middle,6,17%,33%,14,16,20,2.09999990463257,61.8%,25.5%,19.0%,0%,-387,-112,-3.20000004768372,8.10000038146973,24.0%,424,24.1%,24.5%,231,23.6%,0,0.28999999165535,0.119999997317791,0.170000001788139
Chovy,Gen.G,Middle,16,63%,25%,63,22,58,5.5,60.5%,31.5%,14.5%,25%,68,16,0.699999988079071,9.69999980926514,30.2%,552,26.5%,27.2%,307,26.8%,0,0.349999994039536,0.129999995231628,0.330000013113022
Closer,100 Thieves,Jungle,6,17%,50%,12,12,23,2.90000009536743,66.0%,22.6%,14.5%,17%,168,-38,1.29999995231628,5,13.8%,175,10.7%,11.2%,171,17.2%,1,0.270000010728836,0.230000004172325,0.360000014305115
Comp,Rogue,ADC,10,40%,50%,43,18,26,3.79999995231628,62.7%,39.1%,14.6%,20%,-77,31,-1.29999995231628,9.69999980926514,35.3%,479,23.0%,26.1%,319,28.8%,0,0.430000007152557,0.129999995231628,0.389999985694885
Deft,DRX,ADC,21,67%,43%,66,37,97,4.40000009536743,59.1%,23.9%,18.5%,14%,-44,-34,-0.5,9.5,31.4%,565,26.6%,28.7%,307,26.2%,0,0.5,0.180000007152557,0.270000010728836
deokdam,DWG KIA,ADC,12,58%,42%,54,23,65,5.19999980926514,68.4%,31.0%,17.3%,17%,366,309,3.29999995231628,8.89999961853027,31.1%,588,25.0%,26.9%,316,26.7%,0,0.389999985694885,0.109999999403954,0.259999990463257
Doran,Gen.G,Top,16,63%,63%,32,39,76,2.79999995231628,54.0%,16.0%,25.7%,19%,-84,30,1.79999995231628,7.69999980926514,21.3%,439,20.9%,18.2%,237,20.8%,0,0.360000014305115,0.219999998807907,0.270000010728836
Faker,T1,Middle,18,72%,67%,61,56,96,2.79999995231628,54.0%,21.0%,26.5%,11%,-141,-171,-3.5,7.90000009536743,22.5%,612,24.5%,25.0%,266,21.0%,0,0.409999996423721,0.230000004172325,0.180000007152557
FBI,100 Thieves,ADC,6,17%,33%,13,19,25,2,71.7%,24.5%,22.9%,33%,-625,-421,-26.2000007629395,6.40000009536743,23.6%,404,25.8%,27.3%,225,22.9%,0,0.660000026226044,0.230000004172325,0.25
Flakked,G2 Esports,ADC,6,17%,50%,16,15,20,2.40000009536743,65.5%,29.1%,17.9%,17%,-103,-82,-5.19999980926514,9,33.7%,400,22.4%,25.9%,259,26.4%,0,0.430000007152557,0.119999997317791,0.209999993443489
Flandre,EDward Gaming,Top,11,55%,64%,23,20,46,3.5,47.9%,16.0%,16.3%,9%,94,-3,-0.5,8.10000038146973,24.1%,502,21.8%,19.9%,250,21.5%,0,0.239999994635582,0.119999997317791,0.209999993443489
Fudge,Cloud9,Top,6,17%,33%,5,13,15,1.5,50.0%,12.5%,14.8%,0%,-193,-48,-6,7.80000019073486,26.5%,348,18.8%,16.7%,199,21.5%,0,0.349999994039536,0.109999999403954,0.129999995231628
GALA,Royal Never Give Up,ADC,10,50%,50%,44,16,49,5.80000019073486,70.5%,33.3%,13.3%,10%,138,345,14.6000003814697,10.1000003814697,33.0%,619,30.7%,34.2%,323,27.4%,0,0.25,0.0799999982118607,0.370000004768372
Gemini,CTBC Flying Oyster,Jungle,6,17%,67%,8,27,27,1.29999995231628,72.9%,16.7%,22.9%,50%,-392,-310,-3.70000004768372,4.5,11.3%,221,12.3%,11.0%,149,14.0%,0,0.46000000834465,0.400000005960464,0.340000003576279
Gumayusi,T1,ADC,18,72%,56%,90,26,107,7.59999990463257,67.7%,30.9%,12.3%,22%,300,187,10.8999996185303,9.69999980926514,34.1%,625,25.3%,27.2%,341,27.3%,3,0.5,0.189999997615814,0.330000013113022
Hope,JD Gaming,ADC,14,71%,50%,59,37,81,3.79999995231628,64.2%,27.1%,18.5%,29%,-303,-203,-1.20000004768372,9.30000019073486,31.5%,582,24.7%,26.4%,314,25.3%,0,0.509999990463257,0.200000002980232,0.370000004768372
huhi,100 Thieves,Support,6,17%,50%,4,18,32,2,67.9%,7.5%,21.7%,17%,203,274,21,2.90000009536743,6.7%,155,9.1%,8.2%,129,11.4%,0,1.32000005245209,0.370000004768372,0.28999999165535
Humanoid,Fnatic,Middle,6,33%,17%,19,16,17,2.29999995231628,63.2%,33.3%,19.3%,0%,215,435,13.8000001907349,9.69999980926514,31.9%,673,33.5%,34.4%,288,27.9%,0,0.330000013113022,0.0299999993294477,0.109999999403954
Hylissang,Fnatic,Support,6,33%,83%,1,25,43,1.79999995231628,77.2%,1.8%,30.1%,17%,-264,-245,-2.70000004768372,0.699999988079071,1.8%,161,8.0%,6.7%,88,8.3%,0,1.23000001907349,0.310000002384186,0.28999999165535
Impact,Evil Geniuses,Top,6,17%,50%,8,19,22,1.60000002384186,56.6%,15.1%,19.8%,0%,-376,-169,-13.6999998092651,7,22.7%,437,22.7%,21.0%,200,20.2%,0,0.300000011920929,0.100000001490116,0.200000002980232
Inspired,Evil Geniuses,Jungle,6,17%,83%,13,14,24,2.59999990463257,69.8%,24.5%,14.6%,17%,48,206,5.19999980926514,6.40000009536743,19.5%,338,17.8%,18.9%,210,21.2%,0,0.439999997615814,0.170000001788139,0.5
JackeyLove,Top Esports,ADC,6,50%,50%,32,14,31,4.5,76.8%,39.0%,19.7%,50%,694,153,5.5,9.39999961853027,30.4%,665,30.0%,31.7%,355,29.4%,1,0.389999985694885,0.140000000596046,0.490000009536743
Jankos,G2 Esports,Jungle,6,17%,0%,8,17,37,2.59999990463257,81.8%,14.5%,20.2%,67%,-247,-188,-7.80000019073486,5.80000019073486,16.8%,301,16.9%,18.9%,191,19.1%,0,0.680000007152557,0.25,0.600000023841858
Jensen,Cloud9,Middle,6,17%,50%,16,17,13,1.70000004768372,72.5%,40.0%,19.3%,17%,-125,-91,-4.5,8.10000038146973,25.5%,617,35.6%,35.9%,234,24.9%,0,0.300000011920929,0.140000000596046,0.129999995231628
Jiejie,EDward Gaming,Jungle,11,55%,36%,19,29,86,3.59999990463257,72.9%,13.2%,23.6%,55%,261,109,0.200000002980232,5.5,16.3%,335,14.8%,15.2%,197,17.6%,0,0.610000014305115,0.280000001192093,0.639999985694885
jojopyun,Evil Geniuses,Middle,6,17%,83%,8,23,16,1,45.3%,15.1%,24.0%,0%,53,20,2.5,7.69999980926514,23.0%,451,23.4%,25.7%,216,21.9%,0,0.310000002384186,0.189999997615814,0.25
Juhan,DRX,Jungle,1,0%,100%,3,4,6,2.29999995231628,90.0%,30.0%,20.0%,0%,569,466,10,4.59999990463257,11.0%,357,17.8%,19.2%,167,17.2%,0,0.720000028610229,0.439999997615814,0.25
Kanavi,JD Gaming,Jungle,14,71%,50%,64,38,82,3.79999995231628,67.0%,29.4%,19.0%,29%,155,242,6.09999990463257,6.69999980926514,21.0%,431,18.3%,20.3%,275,22.6%,0,0.569999992847443,0.300000011920929,0.689999997615814
Kaori,Evil Geniuses,ADC,6,17%,33%,23,18,13,2,67.9%,43.4%,18.8%,33%,117,-19,-0.300000011920929,8.89999961853027,32.3%,537,27.7%,27.4%,291,28.5%,0,0.310000002384186,0.0599999986588955,0.189999997615814
Kati,GAM Esports,Middle,6,17%,50%,9,19,29,2,70.4%,16.7%,17.8%,0%,-577,-574,-11.1999998092651,7.59999990463257,23.4%,429,25.0%,25.4%,211,22.3%,0,0.409999996423721,0.209999993443489,0.159999996423721
Kellin,DWG KIA,Support,12,58%,67%,8,25,123,5.19999980926514,75.3%,4.6%,18.8%,17%,215,6,-0.699999988079071,0.5,1.7%,177,7.6%,5.6%,110,9.4%,0,1.76999998092651,0.490000009536743,0.280000001192093
Keria,T1,Support,18,72%,33%,25,29,196,7.59999990463257,75.9%,8.6%,13.7%,33%,139,154,-0.300000011920929,0.699999988079071,2.3%,262,10.7%,9.5%,134,10.8%,0,1.60000002384186,0.540000021457672,0.209999993443489
Kiaya,GAM Esports,Top,6,17%,83%,10,22,22,1.5,59.3%,18.5%,20.6%,17%,-170,44,0,7.5,22.5%,404,22.4%,19.4%,207,21.5%,0,0.349999994039536,0.119999997317791,0.140000000596046
Kingen,DRX,Top,21,67%,33%,57,46,106,3.5,59.1%,20.7%,23.0%,33%,50,-3,-3,7.40000009536743,21.1%,475,22.2%,20.8%,241,20.4%,0,0.379999995231628,0.259999990463257,0.239999994635582
knight,Top Esports,Middle,6,50%,50%,26,7,33,8.39999961853027,72.0%,31.7%,9.9%,50%,414,359,4.69999980926514,9,26.8%,686,32.9%,35.2%,311,26.1%,0,0.259999990463257,0.109999999403954,0.300000011920929
Koala,CTBC Flying Oyster,Support,6,17%,67%,5,29,25,1,62.5%,10.4%,24.6%,50%,-381,-142,3.5,1.20000004768372,3.0%,156,9.0%,8.1%,104,9.9%,0,1.75999999046326,0.400000005960464,0.270000010728836
Larssen,Rogue,Middle,10,40%,60%,32,12,42,6.19999980926514,67.3%,29.1%,9.8%,10%,228,269,6.19999980926514,9,28.0%,606,29.9%,31.3%,287,27.0%,0,0.379999995231628,0.0799999982118607,0.140000000596046
Lehends,Gen.G,Support,16,63%,25%,12,40,135,3.70000004768372,73.5%,6.0%,26.3%,38%,102,144,1.10000002384186,0.800000011920929,2.2%,186,8.9%,7.3%,101,8.9%,0,1.44000005722046,0.469999998807907,0.25
Levi,GAM Esports,Jungle,6,17%,17%,16,27,34,1.89999997615814,92.6%,29.6%,25.2%,33%,171,205,6.80000019073486,5.90000009536743,17.7%,465,22.7%,23.3%,213,20.8%,2,0.740000009536743,0.270000010728836,0.560000002384186
Malrang,Rogue,Jungle,10,40%,60%,15,31,66,2.59999990463257,73.6%,13.6%,25.2%,30%,-385,-468,-13.6000003814697,4.69999980926514,13.4%,261,13.0%,13.1%,167,15.5%,1,0.629999995231628,0.370000004768372,0.519999980926514
Mark,Top Esports,Support,6,50%,33%,7,12,56,5.30000019073486,76.8%,8.5%,16.9%,67%,-30,95,-1.20000004768372,0.800000011920929,1.7%,181,7.8%,6.7%,114,9.3%,0,1.6599999666214,0.46000000834465,0.310000002384186
Meiko,EDward Gaming,Support,11,55%,45%,10,29,95,3.59999990463257,72.9%,6.9%,23.6%,45%,-52,61,1.79999995231628,0.800000011920929,1.9%,165,7.2%,6.7%,106,9.3%,0,1.46000003814697,0.46000000834465,0.340000003576279
Ming,Royal Never Give Up,Support,10,50%,70%,9,27,83,3.40000009536743,69.7%,6.8%,22.5%,10%,-90,-322,-13.8999996185303,0.800000011920929,1.7%,166,8.0%,7.7%,106,9.1%,0,1.62999999523163,0.449999988079071,0.280000001192093
Missing,JD Gaming,Support,14,71%,57%,15,41,144,3.90000009536743,72.9%,6.9%,20.5%,29%,15,47,-0.800000011920929,0.699999988079071,2.1%,234,9.7%,7.9%,116,9.4%,0,1.61000001430511,0.469999998807907,0.270000010728836
Mission,CTBC Flying Oyster,Middle,6,17%,17%,9,20,22,1.60000002384186,64.6%,18.8%,16.9%,17%,3,95,5,9.5,30.8%,626,35.4%,37.8%,282,27.3%,0,0.389999985694885,0.200000002980232,0.170000001788139
Nuguri,DWG KIA,Top,12,58%,42%,30,35,51,2.29999995231628,46.6%,17.2%,26.3%,25%,145,87,4.90000009536743,7.80000019073486,24.9%,508,21.6%,19.0%,255,21.7%,0,0.300000011920929,0.189999997615814,0.180000007152557
Odoamne,Rogue,Top,10,40%,30%,17,31,50,2.20000004768372,60.9%,15.5%,25.2%,20%,-141,-123,-4,7.19999980926514,21.1%,472,23.3%,20.3%,215,20.2%,0,0.360000014305115,0.109999999403954,0.129999995231628
