Team,NumberofGamesPlayed,Wins,Losses,AverageGameDuration,Kills,Deaths,KD,CombinedKillsPerMin,GoldPercentRating,GoldSpentDiff,EarlyGameRating,MidLateRating,GoldDiff@15,FirstBloodRate,FirstTowerRate,FirsttoThreeTowersRate,TurretPlatesDestroyed,RiftHeraldRate,FirstDragonRate,DragonControlRate,ElderDragonRate,FirstBaronRate,BaronControlRate,LaneControl,JungleControl,WardsPerMin,ControlWardsPerMin,WardsClearedPerMin
100 Thieves,6,1,5,30.7000000000,53,83,0.639999985694885,0.740000009536743,-1.04999995231628,-12.1%,43.5999984741211,-27,-732,33%,50%,33%,4.30000019073486,67%,33%,33%,NULL,33%,43%,47.8%,45.6%,3.03999996185303,1.17999994754791,1.3400000333786
Cloud9,6,1,5,27.2000000000,40,88,0.449999988079071,0.779999971389771,-1.91999995708466,-15.5%,33,-16.3999996185303,-1957,50%,33%,17%,2.5,33%,50%,33%,NULL,17%,29%,48.1%,45.0%,2.57999992370605,0.790000021457672,0.990000009536743
CTBC Flying Oyster,6,1,5,31.7000000000,48,118,0.409999996423721,0.870000004768372,-1.30999994277954,-9.9%,32.4000015258789,-15.6999998092651,-1300,67%,50%,17%,4.30000019073486,17%,50%,24%,NULL,33%,22%,49.9%,44.4%,3.28999996185303,1.25,1.32000005245209
DRX,21,14,7,34.5000000000,276,200,1.37999999523163,0.660000026226044,0.680000007152557,4.4%,57,9.60000038146973,678,57%,62%,71%,4.5,62%,48%,53%,67%,67%,58%,50.4%,51.3%,3.63000011444092,1.53999996185303,1.82000005245209
DWG KIA,12,7,5,31.6000000000,174,133,1.30999994277954,0.810000002384186,1.52999997138977,8.0%,74.4000015258789,-16.1000003814697,2262,42%,100%,83%,7.5,78%,58%,70%,NULL,75%,71%,48.9%,53.8%,3.58999991416931,1.47000002861023,1.44000005722046
EDward Gaming,11,6,5,33.5000000000,144,123,1.16999995708466,0.730000019073486,0.230000004172325,1.0%,54.7999992370605,-0.300000011920929,673,73%,55%,36%,4.59999990463257,64%,45%,50%,100%,55%,56%,49.9%,50.6%,3.23000001907349,1.23000001907349,1.73000001907349
Evil Geniuses,6,1,5,28.7000000000,53,96,0.550000011920929,0.860000014305115,-1.01999998092651,-9.3%,32.9000015258789,-16.2000007629395,-1522,33%,33%,17%,5.30000019073486,45%,50%,33%,NULL,17%,33%,48.9%,46.7%,2.66000008583069,0.829999983310699,1.3400000333786
Fnatic,6,2,4,30.8000000000,57,83,0.689999997615814,0.759999990463257,-1.36000001430511,-6.9%,33.0999984741211,0.200000002980232,-1452,17%,17%,33%,3.79999995231628,33%,50%,43%,NULL,33%,20%,51.0%,48.5%,2.78999996185303,0.870000004768372,1.12000000476837
G2 Esports,6,1,5,30.1000000000,55,84,0.649999976158142,0.769999980926514,-2.19000005722046,-10.3%,32.4000015258789,-15.8000001907349,-1714,67%,17%,17%,4,17%,17%,30%,NULL,33%,22%,49.8%,41.4%,2.99000000953674,0.879999995231628,1.35000002384186
GAM Esports,6,1,5,31.6000000000,54,107,0.5,0.850000023841858,-2.34999990463257,-13.4%,25.2999992370605,-8.60000038146973,-2729,33%,17%,17%,2.79999995231628,25%,67%,52%,0%,17%,13%,48.6%,47.6%,3.89000010490417,1.22000002861023,1.46000003814697
Gen.G,16,10,6,31.4000000000,200,152,1.32000005245209,0.699999988079071,0.370000004768372,4.8%,52,10.5,116,63%,31%,56%,4.80000019073486,44%,56%,49%,0%,50%,53%,51.5%,52.5%,3.1800000667572,1.37000000476837,1.82000005245209
JD Gaming,14,10,4,31.4000000000,218,200,1.0900000333786,0.949999988079071,0.330000013113022,1.5%,49.9000015258789,21.5,485,43%,64%,57%,5.59999990463257,71%,43%,47%,100%,36%,44%,50.8%,54.7%,3.34999990463257,1.25,1.83000004291534
Rogue,10,4,6,31.0000000000,110,123,0.889999985694885,0.75,-0.689999997615814,-6.6%,34.7999992370605,5.19999980926514,-1452,50%,40%,30%,3.40000009536743,25%,30%,52%,NULL,30%,46%,49.2%,45.4%,2.89000010490417,0.879999995231628,1.49000000953674
Royal Never Give Up,10,5,5,31.6000000000,132,120,1.10000002384186,0.800000011920929,0.189999997615814,0.7%,51.7999992370605,-1.79999995231628,-7,50%,40%,60%,4,60%,60%,63%,0%,40%,42%,49.9%,50.9%,3.05999994277954,1.16999995708466,1.6599999666214
T1,18,13,5,31.9000000000,291,211,1.37999999523163,0.870000004768372,0.939999997615814,10.2%,63.2999992370605,8.89999961853027,1030,39%,61%,72%,5.40000009536743,47%,61%,56%,33%,78%,84%,50.3%,51.6%,3.47000002861023,1.5,1.30999994277954
Top Esports,6,3,3,31.5000000000,82,71,1.14999997615814,0.810000002384186,0.759999990463257,6.9%,62.2000007629395,-12.1999998092651,1176,67%,50%,50%,6.5,42%,67%,57%,100%,67%,63%,51.0%,50.9%,3.3199999332428,1.39999997615814,1.86000001430511
